project_name,x,y,lat_adj,lon_adj
TERESA VILLE,26969.60560135282,28765.725316620963,1.276421488468718,103.824060107019
VIEW AT KISMIS,20939.80330772817,35599.20126323643,1.3382202269815886,103.76987857877171
DOMAIN 21,27113.3161194992,30471.746572955835,1.2918501503945201,103.82535135096934
BISHAN POINT,27927.222953311648,37969.4363865601,1.359656616517215,103.83266462864549
TRILIGHT,28714.463350432452,32998.664297746494,1.3147027086431,103.83973839127425
OCBC SCOTTS SQUARE,27970.78423190475,32014.796906252082,1.3058049672320216,103.8330560617615
ESPIRA SUITES,36831.2476523376,33283.942024312295,1.3172813969634667,103.91267183212899
PRESTIGE POINT,33215.33778782515,36861.411539414,1.3496355803022149,103.88018166390799
THOMSON 800,28508.315231355053,35892.81324849028,1.3408763712001601,103.83788609477135
IVORY HEIGHTS,17217.84982674703,35319.09087976399,1.3356859114417365,103.73643477348445
MOONSTONE RESIDENCES,31645.224507249903,34368.61750814753,1.3270918714498932,103.86607291306599
PARK COLONIAL,32033.44575979229,35629.143191585055,1.3384915677867812,103.8695614592737
ARTRA,26178.191625609663,30270.124844189133,1.2900267138352366,103.81694887517801
LAVENDER RESIDENCE,30991.15970217625,32994.13349083155,1.31466159648741,103.8601956504065
BARTLEY RESIDENCES,33333.18022804376,36116.154547531776,1.3428957224804432,103.8812404204259
NEEM TREE,30028.076999629848,34400.11615781395,1.3273768846683751,103.85154196184999
SOPHIA RESIDENCE,29699.62261442455,31433.900794291072,1.3005515009886683,103.84859045661715
VUE 8 RESIDENCE,39930.986051354,40416.34822555575,1.381783179615471,103.94052735404898
SUITES @ NEWTON,28964.4436541244,33265.408925270654,1.3171150459986651,103.84198459828
ECHELON,26302.2240391758,30353.76880542235,1.2907831673967225,103.81806335334576
SOMMERVILLE PARK,24970.46651198407,32614.640965987917,1.3112295963105898,103.80609673734341
EIGHT RIVERSUITES,31456.752306491242,33764.86877156459,1.321631804199485,103.86437931956871
